자나, 78, 142
사파, 73, 182
사다, 86, 175
하나, 48, 194
차아, 99, 173
사자, 89, 181
타타, 94, 140
차가, 74, 158
라타, 70, 198
카타, 86, 184
다다, 77, 153
파라, 58, 177
아카, 97, 184
자파, 87, 151
카라, 64, 197
라아, 71, 197
카다, 98, 176
사타, 82, 172
아아, 50, 195
사라, 78, 199
타라, 61, 157
하타, 94, 194
가다, 41, 183
자아, 92, 165
카파, 49, 169
아차, 40, 167
사카, 49, 194
아사, 97, 168
타바, 79, 144
타사, 49, 191
나사, 54, 150
사자, 49, 181
카사, 92, 175
차파, 74, 182
마나, 90, 145
카마, 83, 187
카가, 66, 169
차가, 42, 153
아파, 73, 143
바바, 76, 194
마다, 59, 146
차마, 97, 152
나카, 75, 165
자차, 71, 169
사카, 50, 174
라하, 66, 161
파나, 68, 154
가사, 45, 167
바타, 44, 172
파마, 71, 191
사타, 96, 181
차바, 46, 183
카라, 51, 186
아파, 55, 152
라파, 90, 141
가나, 69, 184
타차, 91, 181
다나, 77, 165
라마, 55, 187
카다, 51, 168
타바, 89, 168
카다, 84, 176
바자, 72, 162
마라, 64, 199
가사, 45, 142
파아, 40, 194
가파, 52, 158
파하, 65, 196
라마, 76, 167
자가, 70, 154
사아, 65, 162
다다, 66, 193
다라, 61, 143
가하, 45, 159
자하, 73, 154
하하, 98, 156
바파, 93, 147
자자, 80, 146
차바, 75, 161
사바, 58, 196
카하, 51, 176
가하, 76, 164
바차, 83, 185
다카, 81, 184
바타, 98, 184
마사, 70, 160
하마, 91, 178
자가, 92, 167
자차, 63, 194
라카, 71, 173
사라, 66, 185
하나, 78, 167
아나, 45, 146
자다, 93, 141
자바, 65, 194
라차, 86, 191
사마, 84, 184
파파, 92, 143
카마, 60, 150
자바, 87, 186
